AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams PD,2018,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Fraud,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,14
Adams PD,2018,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,16
Adams PD,2018,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,4
Adams PD,2018,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,6
Adams PD,2018,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams PD,2018,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,1
Adams PD,2018,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Offenses Against Family and Children,Adult,Other Crimes,Adams,12,4/29/2020,3
Adams PD,2018,Offenses Against Family and Children,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Offenses Against Family and Children,Total,Other Crimes,Adams,12,4/29/2020,3
Adams PD,2018,Prostitution & Commercialized Vice,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Prostitution & Commercialized Vice,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Prostitution & Commercialized Vice,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Rape - 2017,Adult,Violent Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Rape - 2017,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Rape - 2017,Total,Violent Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Robbery,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Robbery,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Robbery,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Sex Offenses - 2017,Adult,Society Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Sex Offenses - 2017,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Sex Offenses - 2017,Total,Society Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Simple Assault,Adult,Other Crimes,Adams,12,4/29/2020,4
Adams PD,2018,Simple Assault,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Simple Assault,Total,Other Crimes,Adams,12,4/29/2020,4
Adams PD,2018,Stolen Property,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Stolen Property,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Stolen Property,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Vagrancy Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Vagrancy Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Vagrancy Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Vandalism,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams PD,2018,Vandalism,Juvenile,Property Crimes,Adams,12,4/29/2020,1
Adams PD,2018,Vandalism,Total,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2018,Weapons,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Weapons,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2018,Weapons,Total,Society Crimes,Adams,12,4/29/2020,0
Albany PD,2018, ,Adult,Grand total,Green,12,4/29/2020,42
Albany PD,2018, ,Juvenile,Grand total,Green,12,4/29/2020,21
Albany PD,2018, ,Total,Grand total,Green,12,4/29/2020,63
