AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams PD,2016,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Drug Sale - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Drug Sale - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Embezzlement,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Embezzlement,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Embezzlement,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Forgery & Counterfeiting,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Forgery & Counterfeiting,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Forgery & Counterfeiting,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Fraud,Total,Property Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,21
Adams PD,2016,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,6
Adams PD,2016,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,27
Adams PD,2016,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,3
Adams PD,2016,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Offenses Against Family and Children,Adult,Other Crimes,Adams,12,4/29/2020,5
Adams PD,2016,Offenses Against Family and Children,Juvenile,Other Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Offenses Against Family and Children,Total,Other Crimes,Adams,12,4/29/2020,6
Adams PD,2016,Prostitution & Commercialized Vice,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Prostitution & Commercialized Vice,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Prostitution & Commercialized Vice,Total,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Rape - prior to 2017,Adult,Violent Crimes,Adams,12,4/29/2020,6
Adams PD,2016,Rape - prior to 2017,Juvenile,Violent Crimes,Adams,12,4/29/2020,2
Adams PD,2016,Rape - prior to 2017,Total,Violent Crimes,Adams,12,4/29/2020,8
Adams PD,2016,Robbery,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Robbery,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Robbery,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Sex Offenses - prior to 2017,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams PD,2016,Sex Offenses - prior to 2017,Juvenile,Society Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Sex Offenses - prior to 2017,Total,Society Crimes,Adams,12,4/29/2020,1
Adams PD,2016,Simple Assault,Adult,Other Crimes,Adams,12,4/29/2020,9
Adams PD,2016,Simple Assault,Juvenile,Other Crimes,Adams,12,4/29/2020,5
